TestROC,TestMCC,TestPrecision,TestRecall,TestF1,TestKappa,TestAccuracy,TestSpecificity,TrainAccuracy,TrainKappa,TrainROC,TrainSens,TrainSpec,TrainAUC,TrainPrecision,TrainRecall,TrainF,DataSet,Model,iteration,RunTime,NRowTrainData,NRowTestData,countTotalChecks,nonEqualROCValues,nonEqualAccuracyValues,countNullModels
0.569021739130435,0.0441051408712218,0.269230769230769,0.175,0.212121212121212,0.0426148117501033,0.707865168539326,0.86231884057971,0.803431464086599,0.213871987835138,0.642011723090231,0.320171217671218,0.898694493027553,0.175990231391734,0.379194373334998,0.320171217671218,0.360918131866984,ant-1.4.csv,rpart2,5,6.53,125,178,0,0,0,2 
0.566666666666667,0.340330597838214,1,0.133333333333333,0.235294117647059,0.207604103802052,0.871287128712871,1,0.810082365347071,0.49363902857913,0.77542630980131,0.694166666666667,0.856685952935953,0.102780352817118,0.6334726443769,0.694166666666667,0.647994698538177,ar6.csv,rpart2,5,5.805,36,101,0,0,0,2 
0.746114158829676,0.401972750205287,0.3875,0.645833333333333,0.484375,0.383601384364821,0.82016348773842,0.846394984326019,0.784785792821293,0.406945952213474,0.699756783752443,0.517533576299743,0.87711569972848,0.209241394518439,0.601553565202617,0.517533576299743,0.543922668965022,jedit-4.2.csv,rpart2,5,7.698,312,367,0,0,0,2 
0.699722222222222,0.198895211538492,0.115702479338843,0.875,0.204379562043796,0.0986790186996054,0.547717842323652,0.524444444444444,0.647389168922073,0.283306576325794,0.644745685295511,0.677261011703188,0.610098779940465,0.205592328846185,0.695208023683983,0.677261011703188,0.671839855071732,ivy-1.4.csv,rpart2,5,6.63699999999972,111,241,0,0,0,2 
0.565329218106996,0.122361409387103,0.571428571428571,0.0666666666666667,0.119402985074627,0.0666951688755879,0.734234234234234,0.981481481481482,0.849966293447222,0.0849522731716249,0.587549566736679,0.168063492063492,0.925071555149721,0.113728524757784,0.184416800428036,0.168063492063492,0.27983323261101,synapse-1.1.csv,rpart2,5,5.64999999999964,157,222,0,0,0,2 
0.651061776061776,0.310985773582228,0.666666666666667,0.260869565217391,0.375,0.266917293233082,0.772079772079772,0.953667953667954,0.889474218393439,0.308816819389029,0.711395839897044,0.300030833545539,0.965499748554686,0.265461885890019,0.544000444000444,0.300030833545539,0.366871329519343,ant-1.6.csv,rpart2,5,5.065,293,351,0,0,0,2 
0.749401340996169,0.109498979163344,0.214285714285714,0.1875,0.2,0.109196858373448,0.83617747440273,0.915708812260536,0.717397611911926,0.0761099446240954,0.588308884971891,0.207238734304911,0.865766120758868,0.246299786501915,0.322881236527237,0.207238734304911,0.240678954628935,ant-1.5.csv,rpart2,5,5.941,178,293,0,0,0,2 
0.7446313752419,0.485151183666283,0.594117647058824,0.608433734939759,0.601190476190476,0.485093872498453,0.820134228187919,0.880829015544041,0.795954187766641,0.477926292871304,0.741532309126836,0.617497563310453,0.860523951805867,0.172355002540743,0.628845012808264,0.617497563310453,0.615261630123903,ant-1.7.csv,rpart2,5,7.818,351,745,0,0,0,2 
0.544252873563218,0.209010834720013,0.666666666666667,0.1,0.173913043478261,0.131567706108501,0.822429906542056,0.988505747126437,0.881304874683156,0.342920453570389,0.692316984678207,0.434353741496599,0.950423174027256,0.0999205805363864,0.582099957099957,0.434353741496599,0.596593597374847,ar4.csv,rpart2,5,4.546,63,107,0,0,0,2 
0.821428571428571,0.617213399848368,0.666666666666667,0.75,0.705882352941177,0.615384615384615,0.861111111111111,0.892857142857143,0.8266675425469,0.369661220925955,0.684440245639364,0.454598207348207,0.914282283930521,0.188192216040028,0.548596981250043,0.454598207348207,0.475658850260578,ar5.csv,rpart2,5,4.784,107,36,0,0,0,2 
0.579893343191216,0.054330049761915,0.280701754385965,0.0851063829787234,0.130612244897959,0.0439456168340362,0.779274611398964,0.947232947232947,0.823405588598956,0.125538482084017,0.614571695962613,0.13118708185833,0.961966514331471,0.2796541152324,0.428615562497038,0.13118708185833,0.192471866792509,camel-1.6.csv,rpart2,5,9.587,872,965,0,0,0,2 
0.564340938196651,0.185990128339701,0.5,0.124137931034483,0.198895027624309,0.142151541467651,0.833715596330275,0.975240715268226,0.642730687033312,0.0829919551935659,0.541288138782587,0.177533699565801,0.893831425532759,0.38764900811274,0.498711098252708,0.177533699565801,0.249793262460372,camel-1.4.csv,rpart2,5,9.852,608,872,0,0,0,2 
0.633568202354705,0.273850682375528,0.465721040189125,0.230679156908665,0.308535630383712,0.255108287350013,0.888057809330629,0.967870344043219,0.867704704112253,0.293414370814475,0.711451607825969,0.253028235483595,0.971214428377872,0.402783931865735,0.60407407707601,0.253028235483595,0.353080251720203,eclipse-2.1.csv,rpart2,5,25.839,6729,7888,0,0,0,2 
0.634013511221663,0.289113998291316,0.786516853932584,0.133928571428571,0.228882833787466,0.194171199660144,0.866421221561408,0.993684210526316,0.897471829963051,0.182389415432381,0.67581130296068,0.128215661755587,0.990815568387016,0.290339898911877,0.636176171612172,0.128215661755587,0.211990021276736,eclipse-3.0.csv,rpart2,5,29.872,7888,10593,0,0,0,2 
0.698036858974359,0.0807207352795575,0.25,0.075,0.115384615384615,0.0664206642066409,0.869318181818182,0.971153846153846,0.910832205184937,0.0232488024022366,0.508890057702662,0.0406785714285714,0.977515311261667,0.0559725392507227,0.139229024943311,0.0406785714285714,0.201251478641185,ivy-2.0.csv,rpart2,5,4.632,241,352,0,0,0,2 
0.587797619047619,0.11290837309461,0.978260869565217,0.238095238095238,0.382978723404255,0.0344950790918244,0.292682926829268,0.9375,0.803365774729795,0.530794372516209,0.750798074659844,0.585499240053033,0.916096909266655,0.24347704733488,0.820593757635553,0.585499240053033,0.662656736132878,log4j-1.2.csv,rpart2,5,5.354,109,205,0,0,0,2 
0.706081081081081,0.462528731688797,0.730769230769231,0.513513513513513,0.603174603174603,0.448715355047542,0.770642201834862,0.902777777777778,0.769264735114973,0.321432929100744,0.685321202052305,0.411817076928919,0.893147104375283,0.272784583659932,0.59094391637774,0.411817076928919,0.455483636705341,log4j-1.1.csv,rpart2,5,5.654,135,109,0,0,0,2 
0.716216216216216,0.200217115989541,0.142857142857143,0.363636363636364,0.205128205128205,0.178763730346757,0.936991869918699,0.95010395010395,0.854395221918902,0.300794339765261,0.727497988021093,0.358611490931009,0.929699194980271,0.27575250112235,0.441662449845619,0.358611490931009,0.382317372074401,jedit-4.3.csv,rpart2,5,5.883,367,492,0,0,0,2 
0.737316017316017,0.393841391656766,0.505494505494505,0.613333333333333,0.55421686746988,0.39040542723308,0.758169934640523,0.805194805194805,0.745946061541797,0.400504823041399,0.750969893255396,0.546874738527565,0.844118478388559,0.373397181512338,0.642608891319169,0.546874738527565,0.577241513129359,jedit-4.0.csv,rpart2,5,7.564,272,306,0,0,0,2 
0.728608681479872,0.353413208656914,0.642857142857143,0.341772151898734,0.446280991735537,0.328191284226764,0.78525641025641,0.935622317596567,0.790711470199687,0.365875272475245,0.702738643529076,0.419888230607238,0.912390476543982,0.263220295111644,0.622629574820701,0.419888230607238,0.487855487241515,jedit-4.1.csv,rpart2,5,8.473,306,312,0,0,0,2 
0.640196325195067,0.177743758063584,0.67,0.660098522167488,0.665012406947891,0.177714080974561,0.602941176470588,0.518248175182482,0.580926610657422,0.143088922301007,0.596646768270699,0.646337078757254,0.497415501136129,0.5303498508031,0.636478668635703,0.646337078757254,0.636304976811768,lucene-2.4.csv,rpart2,5,8.514,247,340,0,0,0,2 
0.585490830636462,0.208274579867686,0.784313725490196,0.277777777777778,0.41025641025641,0.151507004809272,0.534412955465587,0.893203883495146,0.661786732713282,0.307081199957982,0.65081041968679,0.499072711521848,0.80221918048331,0.302626748319466,0.72585235671432,0.499072711521848,0.569600841537005,lucene-2.2.csv,rpart2,5,8.669,195,247,0,0,0,2 
0.5,0,NA,0,NA,0,0.875580315691736,1,0.973473150388791,0.0633266217727426,0.548901605909921,0.0709484126984127,0.993261080176221,0.0418389938896535,0.149488561752713,0.0709484126984127,0.270562051533711,PC3.csv,rpart2,5,5.233,745,1077,0,0,0,2 
0.504105839416058,0.0702372999488951,0.875,0.0282258064516129,0.0546875,0.0150329837618404,0.371428571428571,0.992700729927007,0.86186288683543,0.199509814539582,0.621950270436291,0.227522882002758,0.948944332365362,0.211636486066461,0.391125426444171,0.227522882002758,0.286383586795474,poi-2.5.csv,rpart2,5,6.26,314,385,0,0,0,2 
0.499951214752659,0.00761571583834645,0.119791666666667,0.621621621621622,0.200873362445415,0.00409026309404135,0.417197452229299,0.389891696750903,0.708619581093026,0.390974107771231,0.712458666420611,0.779635628146635,0.609985939352536,0.537857972018688,0.747857611850596,0.779635628146635,0.757679321317369,poi-2.0.csv,rpart2,5,8.576,237,314,0,0,0,2 
